,Season,Guest star,Episode title
290,8,Sab Shimono,"""In Marge We Trust""[191]"
291,8,Gedde Watanabe,"""In Marge We Trust""[190]"
292,8,Frank Welker,"""In Marge We Trust""[70]"
293,8,Frank Welker,"""Homer's Enemy""[70]"
294,8,Tim Conway,"""The Simpsons Spin-Off Showcase""[192]"
295,8,Phil Hartman,"""The Simpsons Spin-Off Showcase""[193]"
296,8,Gailard Sartain,"""The Simpsons Spin-Off Showcase""[192]"
297,8,Willem Dafoe,"""The Secret War of Lisa Simpson""[194]"
298,8,Marcia Wallace,"""The Secret War of Lisa Simpson"""
299,9,Michael Dees,"""The City of New York vs. Homer Simpson""[195]"
300,9,Joan Kenley,"""The City of New York vs. Homer Simpson""[195]"
301,9,Kipp Lennon,"""The City of New York vs. Homer Simpson"""
302,9,Martin Sheen,"""The Principal and the Pauper""[196]"
303,9,Marcia Wallace,"""The Principal and the Pauper"""
304,9,Fyvush Finkel,"""Lisa's Sax""[197]"
305,9,Marcia Wallace,"""Treehouse of Horror VIII"""
306,9,Roy Firestone,"""Bart Star""[198]"
307,9,Mike Judge,"""Bart Star""[198]"
308,9,Joe Namath,"""Bart Star""[198]"
309,9,Jan Hooks,"""The Two Mrs. Nahasapeemapetilons""[199]"
310,9,Andrea Martin,"""The Two Mrs. Nahasapeemapetilons""[199]"
311,9,Marcia Wallace,"""The Two Mrs. Nahasapeemapetilons"""
312,9,Stephen Jay Gould,"""Lisa the Skeptic""[200]"
313,9,Phil Hartman,"""Lisa the Skeptic""[201]"
314,9,Marcia Wallace,"""Lisa the Skeptic"""
315,9,Phil Hartman,"""Realty Bites""[202]"
316,9,Alex Trebek,"""Miracle on Evergreen Terrace""[203]"
317,9,Marcia Wallace,"""Miracle on Evergreen Terrace"""
318,9,Jim Varney,"""Bart Carny""[204]"
319,9,Marcia Wallace,"""The Joy of Sect"""
320,9,Phil Hartman,"""Das Bus""[205]"
321,9,James Earl Jones,"""Das Bus""[206]"
322,9,Jack Ong,"""Das Bus""[205]"
323,9,Bruce Baum,"""The Last Temptation of Krust""[207]"
324,9,Janeane Garofalo,"""The Last Temptation of Krust""[207]"
325,9,Bobcat Goldthwait,"""The Last Temptation of Krust""[207]"
326,9,Jay Leno,"""The Last Temptation of Krust""[207]"
327,9,Marcia Wallace,"""The Last Temptation of Krust""[207]"
328,9,"Hank Williams, Jr.","""The Last Temptation of Krust""[207]"
329,9,Steven Wright,"""The Last Temptation of Krust""[207]"
330,9,Helen Hunt,"""Dumbbell Indemnity""[208]"
331,9,Marcia Wallace,"""Dumbbell Indemnity"""
332,9,Phil Hartman,"""Lisa the Simpson""[209]"
333,9,Phil Hartman,"""This Little Wiggy""[210]"
334,9,Marcia Wallace,"""This Little Wiggy"""
335,9,Michael Carrington,"""Simpson Tide""[70]"
336,9,Bob Denver,"""Simpson Tide""[211]"
337,9,Rod Steiger,"""Simpson Tide""[211]"
338,9,Marcia Wallace,"""The Trouble with Trillions"""
339,9,Paul Winfield,"""The Trouble with Trillions""[212]"
340,9,Marcia Wallace,"""Girly Edition"""
341,9,Steve Martin,"""Trash of the Titans""[213]"
342,9,Paul McGuinness,"""Trash of the Titans""[214]"
343,9,Susie Smith,"""Trash of the Titans""[214]"
344,9,U2[L],"""Trash of the Titans""[213]"
345,9,Marcia Wallace,"""Trash of the Titans"""
346,9,Brendan Fraser,"""King of the Hill""[215]"
347,9,Steven Weber,"""King of the Hill""[215]"
348,9,Marcia Wallace,"""Lost Our Lisa"""
349,9,Marcia Wallace,"""Natural Born Kissers"""
350,10,Lisa Kudrow,"""Lard of the Dance""[216]"
351,10,William Daniels,"""The Wizard of Evergreen Terrace""[217]"
